mass (GeV)	expected limit (90% CL)	observed limit (90% CL)
11.5	3.09375e-06	5.6379e-06
11.5997	3.03125e-06	2.77383e-06
11.7157	2.96875e-06	3.12638e-06
11.8329	2.90625e-06	2.89563e-06
11.9512	2.875e-06	2.17449e-06
12.0707	2.84375e-06	3.33214e-06
12.1914	2.84375e-06	3.81567e-06
12.3133	2.8125e-06	2.89943e-06
12.4365	2.78125e-06	3.19644e-06
12.5608	2.8125e-06	4.22407e-06
12.6864	2.84375e-06	2.54118e-06
12.8133	2.84375e-06	2.19381e-06
12.9414	2.875e-06	2.25909e-06
13.0708	2.90625e-06	3.35376e-06
13.2015	2.84375e-06	5.02832e-06
13.3336	2.84375e-06	2.6695e-06
13.4669	2.78125e-06	1.98017e-06
13.6016	2.78125e-06	2.56037e-06
13.7376	2.75e-06	3.17404e-06
13.875	2.71875e-06	4.513e-06
14.0137	2.71875e-06	4.54375e-06
14.1538	2.71875e-06	3.47962e-06
14.2954	2.71875e-06	1.8088e-06
14.4383	2.71875e-06	2.19e-06
14.5827	2.71875e-06	2.57149e-06
14.7285	2.75e-06	2.93201e-06
14.8758	2.75e-06	4.18966e-06
15.0246	2.71875e-06	2.81985e-06
15.1748	2.6875e-06	1.42551e-06
15.3266	2.59375e-06	1.39508e-06
15.4799	2.59375e-06	2.08708e-06
15.6347	2.53125e-06	2.38018e-06
15.791	2.5e-06	4.66731e-06
15.9489	2.46875e-06	4.54547e-06
16.1084	2.40625e-06	3.3576e-06
16.2695	2.40625e-06	1.12291e-06
16.4322	2.34375e-06	1.29515e-06
16.5965	2.4375e-06	1.29255e-06
16.7625	2.40625e-06	1.28943e-06
16.9301	2.40625e-06	1.8063e-06
17.0994	2.40625e-06	3.69535e-06
17.2704	2.40625e-06	3.5043e-06
17.4431	2.40625e-06	4.77486e-06
17.6175	2.40625e-06	3.44677e-06
17.7937	2.4375e-06	1.1861e-06
17.9716	2.46875e-06	1.44629e-06
18.1513	2.5e-06	4.93421e-06
18.3329	2.53125e-06	6.28653e-06
18.5162	2.59375e-06	3.5141e-06
18.7013	2.65625e-06	2.43663e-06
18.8884	2.71875e-06	3.42076e-06
19.0772	2.78125e-06	3.14419e-06
19.268	2.90625e-06	3.34007e-06
19.4607	3.03125e-06	4.4206e-06
19.6553	3.15625e-06	4.84228e-06
19.8519	3.28125e-06	3.21357e-06
20.0504	3.28125e-06	2.50486e-06
20.2509	3.21875e-06	3.09294e-06
20.4534	3.15625e-06	4.93089e-06
20.6579	3.09375e-06	4.54391e-06
20.8645	3.03125e-06	2.8938e-06
21.0731	2.96875e-06	2.49403e-06
21.2839	2.96875e-06	3.00801e-06
21.4967	2.90625e-06	4.63836e-06
21.7117	2.84375e-06	2.92048e-06
21.9288	2.84375e-06	2.59598e-06
22.1481	2.78125e-06	2.98109e-06
22.3696	2.78125e-06	2.99981e-06
22.5933	2.75e-06	2.01948e-06
22.8192	2.71875e-06	3.02159e-06
23.0474	2.71875e-06	3.70511e-06
23.2779	2.71875e-06	3.26584e-06
23.5106	2.6875e-06	1.73031e-06
23.7458	2.65625e-06	3.41587e-06
23.9832	2.65625e-06	4.48365e-06
24.223	2.65625e-06	2.98074e-06
24.4653	2.65625e-06	1.39575e-06
24.7099	2.625e-06	1.8634e-06
24.957	2.59375e-06	3.67773e-06
25.2066	2.59375e-06	4.78237e-06
25.4587	2.59375e-06	3.1695e-06
25.7132	2.59375e-06	1.51214e-06
25.9704	2.5625e-06	1.82406e-06
26.2301	2.53125e-06	3.9742e-06
26.4924	2.53125e-06	2.96949e-06
26.7573	2.53125e-06	2.04359e-06
27.0249	2.53125e-06	3.18007e-06
27.2951	2.53125e-06	2.94628e-06
27.5681	2.53125e-06	1.94859e-06
27.8438	2.53125e-06	1.44274e-06
28.1222	2.53125e-06	3.11197e-06
28.4034	2.53125e-06	3.38437e-06
28.6875	2.53125e-06	3.59342e-06
28.9743	2.53125e-06	2.53668e-06
29.2641	2.53125e-06	1.17628e-06
29.5567	2.53125e-06	1.76159e-06
29.8523	2.53125e-06	5.32104e-06
30.1508	2.53125e-06	4.57065e-06
30.4523	2.5625e-06	1.59497e-06
